DATE,CITY1,COUNTRY1,CITY2,COUNTRY2,WORKING,HOTEL_ADDRESS,VENUE1,VENUE_TYPE1,VENUE2,VENUE_TYPE2,NOTES,SOURCE
1947-03-14,New York City,USA,,,y,,Hotel Delmonico,n,Roxy,n,"Diary--""All Star Show for the Wounded"" between 3:30+5:30, closer to 5:00; Eddy Clay gets injured at Roxy","Display Ad New York Times (1923-Current file); Mar 14, 1947; pg. 26; SIU Box 142 Folder 7; SIU Box 9 Folder 9"
1947-04-07,New York City,USA,,,y,,,,,,Diary--rehearsal,SIU Box 142 Folder 7
1947-06-28,Mexico City,Mexico,,,y,"Arenal #7, San Angel, Mexico, D.F.",,,,,,
1947-07-01,Mexico City,Mexico,,,y,"Arenal #7, San Angel, Mexico, D.F.",,,,,Rehearsing every day at Dunham's rented house; mentions new material in a letter,SIU Box 10 Folder 4
1947-07-06,Mexico City,Mexico,,,y,"Arenal #7, San Angel, Mexico, D.F.",,,,,,
1947-08-24,Mexico City,Mexico,,,y,,Ciro's,n,,,"Ciro's contract begins--24 Aug-6 Sept; per contract, 6 dancers + KD, 3 drummers, 3 singers",SIU Box 10 Folder 4; SIU Box 10 Folder 6
1947-09-01,Mexico City,Mexico,,,y,,Ciro's,n,,,,
1947-12-29,San Diego,USA,,,y,,Russ Auditorium,c,,,,SIU Programs Box 85-86; NYPL Dale Wasserman Collection Box 37
1948-01-02,"Stockton, CA",USA,,,y,,Stockton High School Auditorium,a,,,Program,SIU Programs Boxes 85-86
1948-01-04,San Francisco,USA,,,y,,Geary Theater,c,,,,Bal Negre program
